session_id,station_id,vehicle_id,start_utc,end_utc,duration_min,energy_kwh,power_kw
S000000,ABC0001,EV000006,2026-06-08T04:11:00Z,2026-06-08T04:35:00Z,24,5.64,150
S000001,ABC0047,EV000007,2026-06-08T05:23:00Z,2026-06-08T05:47:00Z,24,0.6,150
S000002,ABC0056,EV000008,2026-06-08T07:48:00Z,2026-06-08T08:24:00Z,36,9.94,150
S000003,ABC0001,EV000012,2026-06-08T02:01:00Z,2026-06-08T02:25:00Z,24,8.95,150
S000004,ABC0016,EV000012,2026-06-08T02:49:00Z,2026-06-08T03:13:00Z,24,3.37,150
S000005,ABC0056,EV000016,2026-06-08T12:09:00Z,2026-06-08T12:33:00Z,24,1.31,150
S000006,ABC0062,EV000018,2026-06-08T10:44:00Z,2026-06-08T11:08:00Z,24,7.37,150
S000007,ABC0006,EV000021,2026-06-08T06:26:00Z,2026-06-08T06:50:00Z,24,13.08,150
S000008,ABC0075,EV000024,2026-06-08T12:06:00Z,2026-06-08T12:30:00Z,24,5.52,350
S000009,ABC0044,EV000027,2026-06-08T05:59:00Z,2026-06-08T06:59:00Z,60,27.18,50
S000010,ABC0002,EV000028,2026-06-08T05:27:00Z,2026-06-08T05:51:00Z,24,0.47,50
S000011,ABC0010,EV000037,2026-06-08T07:44:00Z,2026-06-08T08:08:00Z,24,2.81,50
S000012,ABC0075,EV000038,2026-06-08T03:14:00Z,2026-06-08T03:38:00Z,24,2.77,350
S000013,ABC0063,EV000045,2026-06-08T05:10:00Z,2026-06-08T05:34:00Z,24,1.87,350
S000014,ABC0053,EV000051,2026-06-08T11:01:00Z,2026-06-08T11:25:00Z,24,2.87,150
S000015,ABC0053,EV000059,2026-06-08T06:26:00Z,2026-06-08T06:50:00Z,24,2.38,150
S000016,ABC0019,EV000062,2026-06-08T11:30:00Z,2026-06-08T11:54:00Z,24,2.57,50
S000017,ABC0016,EV000066,2026-06-08T07:02:00Z,2026-06-08T07:26:00Z,24,5.9,150
S000018,ABC0002,EV000073,2026-06-08T06:27:00Z,2026-06-08T07:03:00Z,36,10.71,50
S000019,ABC0022,EV000073,2026-06-08T11:39:00Z,2026-06-08T12:03:00Z,24,2.05,150
S000020,ABC0044,EV000075,2026-06-08T10:31:00Z,2026-06-08T10:55:00Z,24,1.52,50
S000021,ABC0042,EV000077,2026-06-08T06:21:00Z,2026-06-08T06:45:00Z,24,5.22,50
S000022,ABC0028,EV000080,2026-06-08T00:47:00Z,2026-06-08T01:11:00Z,24,2.89,150
S000023,ABC0041,EV000080,2026-06-08T09:11:00Z,2026-06-08T09:35:00Z,24,2.89,350
S000024,ABC0037,EV000081,2026-06-08T10:18:00Z,2026-06-08T10:42:00Z,24,9.21,150
S000025,ABC0056,EV000084,2026-06-08T08:20:00Z,2026-06-08T08:44:00Z,24,1.76,150
S000026,ABC0026,EV000085,2026-06-08T06:17:00Z,2026-06-08T06:41:00Z,24,2.2,50
S000027,ABC0004,EV000087,2026-06-08T05:36:00Z,2026-06-08T06:00:00Z,24,1.1,50
S000028,ABC0004,EV000087,2026-06-08T08:36:00Z,2026-06-08T09:00:00Z,24,1.73,50
S000029,ABC0032,EV000089,2026-06-08T06:48:00Z,2026-06-08T07:24:00Z,36,12.16,50
S000030,ABC0023,EV000094,2026-06-08T06:10:00Z,2026-06-08T06:34:00Z,24,0.51,150
S000031,ABC0029,EV000096,2026-06-08T04:22:00Z,2026-06-08T04:46:00Z,24,8.07,50
S000032,ABC0049,EV000108,2026-06-08T10:02:00Z,2026-06-08T10:26:00Z,24,0.9,350
S000033,ABC0061,EV000110,2026-06-08T02:46:00Z,2026-06-08T03:10:00Z,24,6.25,150
S000034,ABC0054,EV000114,2026-06-08T05:13:00Z,2026-06-08T05:37:00Z,24,1.45,50
S000035,ABC0052,EV000131,2026-06-08T08:34:00Z,2026-06-08T08:58:00Z,24,2.36,150
S000036,ABC0063,EV000133,2026-06-08T09:09:00Z,2026-06-08T09:33:00Z,24,1.53,350
S000037,ABC0037,EV000141,2026-06-08T01:31:00Z,2026-06-08T01:55:00Z,24,5.7,150
S000038,ABC0046,EV000149,2026-06-08T03:02:00Z,2026-06-08T03:50:00Z,48,16.47,50
S000039,ABC0000,EV000152,2026-06-08T03:10:00Z,2026-06-08T03:34:00Z,24,9.89,150
S000040,ABC0021,EV000152,2026-06-08T09:10:00Z,2026-06-08T09:34:00Z,24,2.32,50
S000041,ABC0035,EV000160,2026-06-08T05:50:00Z,2026-06-08T06:14:00Z,24,6.55,50
S000042,ABC0051,EV000168,2026-06-08T03:13:00Z,2026-06-08T03:37:00Z,24,6.85,150
S000043,ABC0028,EV000169,2026-06-08T02:37:00Z,2026-06-08T03:01:00Z,24,11.99,150
S000044,ABC0041,EV000169,2026-06-08T03:13:00Z,2026-06-08T03:37:00Z,24,2.39,350
S000045,ABC0028,EV000169,2026-06-08T07:25:00Z,2026-06-08T07:49:00Z,24,1.81,150
S000046,ABC0069,EV000172,2026-06-08T07:12:00Z,2026-06-08T07:48:00Z,36,12.54,50
S000047,ABC0001,EV000175,2026-06-08T00:21:00Z,2026-06-08T00:45:00Z,24,5.7,150
S000048,ABC0007,EV000178,2026-06-08T03:18:00Z,2026-06-08T03:42:00Z,24,3.43,350
S000049,ABC0047,EV000178,2026-06-08T06:30:00Z,2026-06-08T06:54:00Z,24,1.47,150
S000050,ABC0078,EV000179,2026-06-08T09:59:00Z,2026-06-08T10:47:00Z,48,16.71,50
S000051,ABC0022,EV000183,2026-06-08T02:03:00Z,2026-06-08T02:27:00Z,24,5.3,150
S000052,ABC0010,EV000188,2026-06-08T06:17:00Z,2026-06-08T06:41:00Z,24,3.39,50
