ping_id,vehicle_id,ts_utc,lat,lon,speed_kmh,heading_deg,soc_pct
0,EV000000,2026-06-08T02:01:00Z,59.34736,18.19668,2.5,,42.9
1,EV000000,2026-06-08T02:13:00Z,59.3472,18.19649,2.5,147.7,42.9
2,EV000000,2026-06-08T02:25:00Z,59.34738,18.19666,1.6,,42.9
3,EV000000,2026-06-08T02:37:00Z,59.34729,18.19684,0.8,,42.9
4,EV000000,2026-06-08T02:49:00Z,59.34726,18.19678,0.1,149.4,42.9
5,EV000000,2026-06-08T03:01:00Z,59.38934,18.10362,44.6,262.9,40.8
6,EV000000,2026-06-08T03:13:00Z,59.33263,18.1317,32.3,302.9,38.8
7,EV000000,2026-06-08T03:25:00Z,59.37744,18.20408,73.7,50.6,37.7
8,EV000000,2026-06-08T03:37:00Z,59.40306,18.10795,2.4,,37.7
9,EV000000,2026-06-08T03:49:00Z,59.40291,18.10787,2.7,35.5,37.7
10,EV000000,2026-06-08T04:01:00Z,59.40293,18.10784,2.9,37.5,37.7
11,EV000000,2026-06-08T04:13:00Z,59.39196,18.14817,82.8,237.3,37.2
12,EV000000,2026-06-08T04:25:00Z,59.43916,18.07159,78.3,136.9,35.3
13,EV000000,2026-06-08T04:37:00Z,59.43007,18.14961,53.4,307.4,33.6
14,EV000000,2026-06-08T04:49:00Z,59.34727,18.20285,2.6,,33.6
15,EV000000,2026-06-08T05:01:00Z,59.34713,18.20284,2.4,53.6,33.6
16,EV000000,2026-06-08T05:13:00Z,59.34716,18.20283,1.1,53.3,33.6
17,EV000000,2026-06-08T05:25:00Z,59.32304,18.24927,40.2,241.4,32.8
18,EV000000,2026-06-08T05:37:00Z,59.2895,18.21866,55.2,24.4,30.8
19,EV000000,2026-06-08T05:49:00Z,59.37003,18.03966,1.9,242.8,30.8
20,EV000000,2026-06-08T06:01:00Z,59.37002,18.03967,1.1,254.1,30.8
21,EV000000,2026-06-08T06:13:00Z,59.37002,18.0396,2.2,,30.8
22,EV000000,2026-06-08T06:25:00Z,59.36998,18.03967,0.8,252.7,30.8
23,EV000000,2026-06-08T06:37:00Z,59.37003,18.03958,2.9,238.2,30.8
24,EV000000,2026-06-08T06:49:00Z,59.29022,17.94207,86.4,341.3,29.3
25,EV000000,2026-06-08T07:01:00Z,59.43237,18.10004,38.6,198.5,27.5
26,EV000000,2026-06-08T07:13:00Z,59.3859,17.9543,26.3,352.8,25.8
27,EV000000,2026-06-08T07:25:00Z,59.31014,18.09171,1.3,23.9,25.8
28,EV000000,2026-06-08T07:37:00Z,59.31021,18.09142,0.5,14.8,25.8
29,EV000000,2026-06-08T07:49:00Z,59.31009,18.09178,2.7,0.9,25.8
30,EV000000,2026-06-08T08:01:00Z,59.31004,18.09154,0.4,15.5,25.8
31,EV000000,2026-06-08T08:13:00Z,59.31022,18.09164,2.5,14.6,25.8
32,EV000000,2026-06-08T08:25:00Z,59.31031,18.09167,1.3,32.7,25.8
33,EV000000,2026-06-08T08:37:00Z,59.40808,18.09173,73.9,273.5,24.3
34,EV000000,2026-06-08T08:49:00Z,59.4664,18.20694,0.1,282.5,24.3
35,EV000000,2026-06-08T09:01:00Z,59.46642,18.20681,2.0,280.3,24.3
36,EV000000,2026-06-08T09:13:00Z,59.50886,18.22736,26.2,296.1,23.7
37,EV000000,2026-06-08T09:25:00Z,59.4716,18.23164,70.8,358.2,22.2
38,EV000000,2026-06-08T09:37:00Z,59.33321,18.00064,1.3,298.9,22.2
39,EV000000,2026-06-08T09:49:00Z,59.33323,18.00069,2.4,280.7,22.2
40,EV000000,2026-06-08T10:01:00Z,59.33323,18.00071,1.1,290.6,22.2
41,EV000000,2026-06-08T10:13:00Z,59.33319,18.00055,0.9,,22.2
42,EV000000,2026-06-08T10:25:00Z,59.33321,18.00042,0.1,291.6,22.2
43,EV000000,2026-06-08T10:37:00Z,59.33323,18.00066,2.5,288.7,22.2
44,EV000000,2026-06-08T10:49:00Z,59.3332,18.00065,1.3,,22.2
45,EV000000,2026-06-08T11:01:00Z,59.34047,18.03764,85.1,308.2,20.8
46,EV000000,2026-06-08T11:13:00Z,59.37547,17.91692,98.4,247.7,18.9
47,EV000000,2026-06-08T11:25:00Z,59.35535,18.02279,96.7,47.4,17.9
48,EV000001,2026-06-08T02:30:00Z,41.89442,12.55061,1.9,132.0,81.3
49,EV000001,2026-06-08T02:42:00Z,41.89435,12.55051,0.3,,100.0
50,EV000001,2026-06-08T02:54:00Z,41.89418,12.52454,89.1,5.2,97.8
51,EV000001,2026-06-08T03:06:00Z,41.86822,12.5845,84.7,257.4,97.1
52,EV000001,2026-06-08T03:18:00Z,41.81526,12.35872,2.5,18.8,97.1
