station_id,operator,is_abc,lat,lon,country,city,n_chargers,max_power_kw,bay_bearing_deg
CMP0000,Helio Charge,False,43.59807,1.46062,FR,Lyon,12,150,59
CMP0001,Kestrel Power,False,37.39942,-5.93868,ES,Seville,12,150,42
CMP0002,Northwind EV,False,39.42215,-0.44156,NL,Rotterdam,6,50,145
ABC0000,ABC Corp,True,52.31405,4.82263,NL,Amsterdam,6,150,74
ABC0001,ABC Corp,True,53.57594,10.00031,DE,Hamburg,2,150,214
CMP0003,Corvus Grid,False,44.60353,11.31606,IT,Bologna,4,350,24
CMP0004,Solace Charge,False,48.84269,2.42722,FR,Paris,2,150,79
CMP0005,Helio Charge,False,48.93653,2.29671,CH,Zurich,8,150,57
CMP0006,Kestrel Power,False,59.90521,10.66089,NL,Utrecht,2,350,240
ABC0002,ABC Corp,True,59.3465,18.19658,SE,Stockholm,2,50,147
CMP0007,Northwind EV,False,53.48389,10.19679,DE,Hamburg,4,150,254
CMP0008,Corvus Grid,False,50.06511,14.49709,AT,Vienna,4,150,46
ABC0003,ABC Corp,True,52.43657,4.90968,NL,Amsterdam,6,150,264
CMP0009,Solace Charge,False,55.6273,12.58922,DK,Copenhagen,2,50,208
CMP0010,Helio Charge,False,45.49643,9.13992,NO,Oslo,2,150,177
CMP0011,Kestrel Power,False,48.95575,2.40937,HU,Budapest,8,150,138
CMP0012,Northwind EV,False,50.64318,2.97434,FR,Lille,8,50,349
CMP0013,Corvus Grid,False,52.12053,5.13165,NL,Utrecht,6,50,228
CMP0014,Solace Charge,False,45.86922,4.87058,FR,Lyon,4,150,311
CMP0015,Helio Charge,False,50.06695,14.49932,SK,Bratislava,2,350,90
CMP0016,Kestrel Power,False,41.87084,12.37718,IT,Rome,8,50,206
CMP0017,Northwind EV,False,40.37723,-3.71169,ES,Madrid,6,150,250
CMP0018,Corvus Grid,False,53.35205,-6.20022,IE,Dublin,4,50,245
CMP0019,Solace Charge,False,48.93632,2.29007,FR,Paris,2,50,157
CMP0020,Helio Charge,False,48.90832,2.34062,FR,Paris,2,150,98
CMP0021,Kestrel Power,False,40.41516,-3.70371,NO,Oslo,4,150,118
CMP0022,Northwind EV,False,43.66556,1.36262,SE,Stockholm,4,350,339
CMP0023,Corvus Grid,False,57.68173,11.94081,SE,Gothenburg,2,350,90
ABC0004,ABC Corp,True,45.77975,4.87423,FR,Lyon,4,50,232
ABC0005,ABC Corp,True,59.90283,10.6565,NO,Oslo,4,150,247
CMP0024,Solace Charge,False,50.83656,7.0004,NO,Oslo,2,150,322
CMP0025,Helio Charge,False,52.38359,4.81367,NL,Amsterdam,4,50,147
ABC0006,ABC Corp,True,48.8405,2.44491,FR,Paris,4,150,103
ABC0007,ABC Corp,True,40.41463,-3.70572,ES,Madrid,4,350,26
CMP0026,Kestrel Power,False,50.12204,8.61996,DE,Frankfurt,6,150,353
CMP0027,Northwind EV,False,41.89827,12.47088,IT,Rome,4,350,157
ABC0008,ABC Corp,True,45.49134,9.17296,IT,Milan,2,50,37
ABC0009,ABC Corp,True,48.95744,2.40959,FR,Paris,6,50,21
CMP0028,Corvus Grid,False,46.23631,6.01893,CH,Geneva,4,150,190
CMP0029,Solace Charge,False,41.82681,12.58603,ES,Madrid,4,50,168
CMP0030,Helio Charge,False,48.11732,16.34322,AT,Vienna,6,150,39
CMP0031,Kestrel Power,False,39.49081,-0.19949,ES,Valencia,6,150,318
ABC0010,ABC Corp,True,59.80898,10.85495,NO,Oslo,8,50,68
CMP0032,Northwind EV,False,41.82313,12.58672,IT,Turin,8,150,136
CMP0033,Corvus Grid,False,43.34256,5.42253,FR,Marseille,6,150,275
CMP0034,Solace Charge,False,48.81387,9.35117,DE,Stuttgart,6,50,158
CMP0035,Helio Charge,False,48.83326,9.12318,FR,Paris,2,50,23
CMP0036,Kestrel Power,False,49.98333,14.40703,CZ,Prague,6,150,240
CMP0037,Northwind EV,False,59.89388,10.88251,NO,Oslo,2,350,137
CMP0038,Corvus Grid,False,44.45832,11.37994,IT,Bologna,2,350,264
ABC0011,ABC Corp,True,45.49852,9.24159,IT,Milan,2,150,68
ABC0012,ABC Corp,True,41.27959,-8.66548,PT,Porto,4,50,217
ABC0013,ABC Corp,True,48.86829,2.50983,FR,Paris,2,50,306
CMP0039,Solace Charge,False,41.3454,2.29142,ES,Barcelona,6,50,83
CMP0040,Helio Charge,False,53.48801,10.04504,DE,Hamburg,6,150,29
CMP0041,Kestrel Power,False,52.51698,13.46561,DE,Berlin,6,50,172
CMP0042,Northwind EV,False,59.90366,10.65354,CH,Zurich,2,50,121
ABC0014,ABC Corp,True,45.40213,9.23901,IT,Milan,6,50,223
CMP0043,Corvus Grid,False,45.82127,15.96689,HR,Zagreb,8,50,308
CMP0044,Solace Charge,False,41.09587,-8.59804,PT,Porto,2,150,333
CMP0045,Helio Charge,False,53.40974,-6.19868,IE,Dublin,2,150,247
CMP0046,Kestrel Power,False,59.80922,10.85287,FR,Lyon,2,150,336
CMP0047,Northwind EV,False,50.16937,8.54002,DE,Frankfurt,4,350,253
CMP0048,Corvus Grid,False,52.49445,13.43759,DE,Berlin,2,350,337
CMP0049,Solace Charge,False,41.28124,-8.6674,DK,Copenhagen,4,150,356
CMP0050,Helio Charge,False,59.80741,10.85498,NL,Amsterdam,4,350,65
CMP0051,Kestrel Power,False,41.36644,2.12517,ES,Barcelona,6,50,8
CMP0052,Northwind EV,False,52.50172,13.37474,DE,Berlin,4,150,1
CMP0053,Corvus Grid,False,37.91375,23.56957,GR,Athens,6,50,239
ABC0015,ABC Corp,True,41.82498,12.58453,IT,Rome,2,150,130
CMP0054,Solace Charge,False,43.75301,7.28089,FR,Nice,6,350,268
ABC0016,ABC Corp,True,53.54079,10.09453,DE,Hamburg,6,150,311
ABC0017,ABC Corp,True,44.50657,11.4922,IT,Bologna,6,150,269
CMP0055,Helio Charge,False,48.8528,2.31142,FR,Toulouse,2,150,145
ABC0018,ABC Corp,True,52.42659,13.24534,DE,Berlin,12,50,257
CMP0056,Kestrel Power,False,50.83522,6.99629,IT,Turin,4,150,249
CMP0057,Northwind EV,False,48.74176,9.12926,PL,Krakow,2,50,25
CMP0058,Corvus Grid,False,43.28413,-2.97215,ES,Bilbao,4,50,16
CMP0059,Solace Charge,False,45.49673,9.14448,PT,Lisbon,4,50,30
CMP0060,Helio Charge,False,52.57547,13.22765,DE,Berlin,4,50,192
CMP0061,Kestrel Power,False,48.7461,9.12696,ES,Madrid,2,350,278
CMP0062,Northwind EV,False,45.47684,9.33263,FI,Helsinki,2,50,298
ABC0019,ABC Corp,True,47.44773,19.06392,HU,Budapest,4,50,220
CMP0063,Corvus Grid,False,40.46021,-3.71155,ES,Madrid,6,150,341
CMP0064,Solace Charge,False,39.4949,-0.3982,ES,Valencia,4,150,94
CMP0065,Helio Charge,False,45.49975,9.16497,FR,Marseille,2,150,87
CMP0066,Kestrel Power,False,38.79494,-9.17659,PT,Lisbon,4,50,3
ABC0020,ABC Corp,True,45.49643,9.14293,IT,Milan,2,50,48
CMP0067,Northwind EV,False,41.4598,2.04771,ES,Barcelona,2,350,192
ABC0021,ABC Corp,True,52.34692,4.90148,NL,Amsterdam,12,50,278
CMP0068,Corvus Grid,False,48.84066,2.50339,FR,Paris,2,50,32
CMP0069,Solace Charge,False,41.89114,12.41597,IT,Bologna,4,50,299
ABC0022,ABC Corp,True,59.46604,18.20827,SE,Stockholm,4,150,269
CMP0070,Helio Charge,False,38.71017,-9.07942,CZ,Prague,2,350,45
ABC0023,ABC Corp,True,53.63667,9.93233,DE,Hamburg,8,150,122
ABC0024,ABC Corp,True,48.74091,9.3009,DE,Stuttgart,12,150,229
CMP0071,Kestrel Power,False,48.86543,2.3476,FR,Paris,2,150,290
CMP0072,Northwind EV,False,45.37412,9.18471,IT,Milan,4,150,294
CMP0073,Corvus Grid,False,45.72532,4.7948,FR,Paris,4,150,34
CMP0074,Solace Charge,False,51.92378,4.38539,DE,Berlin,2,50,23
CMP0075,Helio Charge,False,48.77746,2.47979,GR,Athens,6,50,177
CMP0076,Kestrel Power,False,43.66249,1.43796,FR,Toulouse,6,50,82
CMP0077,Northwind EV,False,50.86848,4.25911,BE,Brussels,6,150,35
