vehicle_id,make,model,engine_type,battery_kwh,max_charge_kw,model_year
EV000000,Selva,Corta,BEV,42,85,2026
EV000001,Aurex,Lumen LR,BEV,77,150,2024
EV000002,Selva,Corta+,BEV,52,100,2019
EV000003,Selva,Corta PHV,PHEV,9,4,2023
EV000004,Marden,Ridge XL,BEV,105,250,2022
EV000005,Aurex,Lumen PHV,PHEV,14,7,2024
EV000006,Vantor,Arc GT,BEV,91,220,2020
EV000007,Vantor,Arc,BEV,64,135,2022
EV000008,Aurex,Lumen PHV,PHEV,14,7,2023
EV000009,Marden,Ridge XL,BEV,105,250,2020
EV000010,Marden,Ridge XL,BEV,105,250,2020
EV000011,Vantor,Arc GT,BEV,91,220,2025
EV000012,Vantor,Arc,BEV,64,135,2020
EV000013,Vantor,Arc,BEV,64,135,2020
EV000014,Aurex,Lumen PHV,PHEV,14,7,2026
EV000015,Vantor,Arc PHV,PHEV,11,7,2025
EV000016,Vantor,Arc GT,BEV,91,220,2026
EV000017,Aurex,Lumen PHV,PHEV,14,7,2019
EV000018,Vantor,Arc GT,BEV,91,220,2019
EV000019,Selva,Corta,BEV,42,85,2020
EV000020,Selva,Corta+,BEV,52,100,2025
EV000021,Vantor,Arc,BEV,64,135,2022
EV000022,Vantor,Arc,BEV,64,135,2019
EV000023,Vantor,Arc,BEV,64,135,2025
EV000024,Vantor,Arc,BEV,64,135,2021
EV000025,Selva,Corta,BEV,42,85,2019
EV000026,Aurex,Lumen,BEV,58,120,2026
EV000027,Marden,Ridge XL,BEV,105,250,2026
EV000028,Aurex,Lumen LR,BEV,77,150,2026
EV000029,Selva,Corta,BEV,42,85,2025
EV000030,Selva,Corta+,BEV,52,100,2022
EV000031,Aurex,Lumen LR,BEV,77,150,2024
EV000032,Vantor,Arc GT,BEV,91,220,2024
EV000033,Selva,Corta+,BEV,52,100,2022
EV000034,Selva,Corta+,BEV,52,100,2022
EV000035,Aurex,Lumen PHV,PHEV,14,7,2021
EV000036,Marden,Ridge XL,BEV,105,250,2025
EV000037,Aurex,Lumen LR,BEV,77,150,2024
EV000038,Marden,Ridge XL,BEV,105,250,2021
EV000039,Selva,Corta+,BEV,52,100,2019
EV000040,Marden,Ridge,BEV,82,175,2020
EV000041,Aurex,Lumen LR,BEV,77,150,2024
EV000042,Selva,Corta,BEV,42,85,2020
EV000043,Marden,Ridge,BEV,82,175,2023
EV000044,Marden,Ridge XL,BEV,105,250,2024
EV000045,Marden,Ridge XL,BEV,105,250,2026
EV000046,Aurex,Lumen LR,BEV,77,150,2023
EV000047,Marden,Ridge XL,BEV,105,250,2022
